context1	context2	label
7 шілдесінде қабылданған « Ерекше қорғалатын табиғи аумақтар туралы » Заңының 4 - тарауының 4 - бабында респ . маңызы бар Ерекше қорғалатын табиғи аумақтар туралы түрлері : мемлекеттік табиғи  <word>қорық</word> тар ; мемлекеттік ұлттық табиғи саябақтар ; мемл . табиғи резерваттар ; мемлекеттік зоология саябақтар ; мемлекеттік ботаникалық саябақтар ; мемлекеттік дендрол .	She begins to wear Julani 's fur pelt as a sight-and-sense cue to help with the raising of the cubs . In the jungle , Shanna becomes more and more at home with herself and her new native element , all the while protecting the  <word>reserve</word> from poachers as Shanna the She-Devil .	T
Воробьевқа КСРО Жоғарғы Кеңесі Төралқасының Жарлығымен Кеңес Одағының Батыры 43 - армия , 179 - дивизия атқыштар батальоны 1944 жылы маусым айында Мазурино  <word>деревня</word> сы тұсында жау қорғанысын бұзып өтіп , Шумилин кентін және Сиротино темір жол айырмасын ( Витебск облысы ) азат етті .	Sundown is a  <word>hamlet</word> located within Denning , New York , in Ulster County , New York , United States . It is 34.6 miles from the city of Kingston , New York and 119 miles from New York City .	T
Қарабас – Шу өзені нің орта ағысындағы  <word>Сарқырама</word> мен Қараөзек тармақтары аралығындағы төбе . Жамбыл облысы Мойынқұм ауданы Құмөзек ауылының оңтүстік - шығысында 20 км жерде орналасқан . Абсолюттік биіктігі 329 м . Беткейі тіктеу , пішіні дөңгелек тәрізді келген .	The Kalambo Falls on the Kalambo River is a single-drop  <word>waterfall</word> on the border of Zambia and Tanzania at the southeast end of Lake Tanganyika . The falls are some of the tallest uninterrupted falls in Africa ( after South Africa 's Tugela Falls , Ethiopia 's Jin Bahir Falls and others ) .	T
Аймақтық метаморфизмде жылудың , қысымның , ерітінділердің әсерінен тақтатастар , гнейс тер , гранулит тер , амфиболит тер ,  <word>мәрмәр</word> лер , кварцит тер , мигматит тер , эклогит тер қалыптасады . Оларға тақтатастық , сирек шомбал бітім , әркелкі түйірлі құрылым , " кордиерит , андалузит , силлиманит , кианит , ставролит , омфацит , альмандин , пироп " сияқты типоморфтық минералдар тән .	On August 8 , 2004 , the BAPS organization , a sect of Hinduism , opened BAPS Shri Swaminarayan Mandir , Chicago , a large temple , or `` mandir `` , on Illinois Route 59 , just south of U.S. Route 20 . Covering , it is the largest traditional Hindu mandir , of stone and  <word>marble</word> , to be constructed in the United States . The mandir took 16 months to build and was constructed with Turkish limestone , Italian marble , and Indian makrana marble .	T
Горды электрондық музыка саласының дамуына өлшеусіз үлес қосқан дейді осы саланың мамандары . Топтағы жұмысынан бос уақытында  <word>ди-джей</word> болғанды ұнатады . Гитарамен 13 жасында - ақ танысқан Мартин сәлден соң онда ойнауды үйреніп алады .	It was also remixed by Tiësto and added to the deluxe edition of the album . Furtado described it as the `` perfect laidback track '' and shows the `` mellow side '' of the  <word>DJ</word> . By February 2012 , via a TSI webisode , she worked with Bob Rock and Fraser T Smith .	T
Футболдан КСРО чемпионатының туған күні ретінде 22 мамыр тойланды . 1936 жылы осы күні турнирдің ең алғашқы матчы ойналып , Ленинградтың " Динамо " және Мәскеудің "  <word>Локомотив</word> " клубтары кездесті . Бұл ойында 3 : 1 есебімен лениградтықтар жеңіске жетті .	In 2007 , he joined club youth system , playing for Lokomotiv U21 . On 24 September 2008 he made his debut appearance for the main  <word>Lokomotiv</word> squad , playing all 90 minutes in Russian Cup home match vs Vityaz Podolsk . The first half of 2009 season he spent on loan at Volga Nizhny Novgorod , gaining first-team experience .	T
Бұл нысанды 1751 жыл ы Никола Луи де лака астрономы ашқан болатын және  <word>NGC</word> каталогында 104 деген нөмірге ие болды . Сондай - ақ , бұл ғарыш объектісі өзге де зерттеулер мен каталогтарда кездескендіктен оның келесідей атаулары бар : GCL 1 , ESO 50 - SC9 , 47 Tuc .	Whereas the amateur astronomer of the 1970s and 1980s typically did not explore much beyond the Messier and brighter  <word>NGC</word> objects ; thanks in part to Dobsonians , the amateur astronomer of today can routinely observe dim objects listed in obscure catalogues , such as the IC , Abell , Perek Kohoutek , Minkowski , and others once considered the domain only of professional astronomers .	T
Нарын құмы – Каспий маңы ойпаты ның солтүстік - батыс бөлігінде , Еділ мен Жайық өзендері аралығында орналасқан . Әкімшілік тұрғыдан Атырау облысы ның  <word>Құрманғазы</word> , Махамбет аудандары және Батыс ~ Қазақстан ~ облысы ның Бөкей Ордасы , Жаңақала және Ақжайық ауданының оңтүстік бөлігін қамтиды . Аумағы 40 мың км² .	While at the Zhubanov School , she excelled in piano and composition , garnering awards including prizes from the Soviet Union 's New Talent competitions , Kazakhstan national piano competitions and other competitions and festivals in Central Asia , Germany , Turkey , Russia , and Uzbekistan . After graduating from the Zhubanov School , Kadisha entered the  <word>Kurmangazy</word> National Conservatory of Music .	T
Қалған бөлігі Қазақ хандығын құраған негізгі тайпалармен бірге Моғолстан жеріне ауды . 16 – 17 ғ - ларда кейбір найман рулары  <word>Атбасар</word> , Ырғыз аймақтарында өмір сүрген . М . Шайбанимен бірге Мауераннахрға ауған наймандар Сырдарияның төм .	The fairly advantageous position of the town was clear as early as 1863 in an abstract from the Geographic and Statistical Dictionary of the Russian Empire . It describes how picket roads and lines connected this geographic center to Kargaly in the East , Aktau fort in the South and through  <word>Atbasar</word> to Kokchetav in the West . In 1838 , at the height of the great national and liberation movement headed by Kenesary Khan , Akmolinsk fortress was burned .	T
<word>Күн</word> ді бақылай келе , ғалымдар ерте кезден - ақ оның жұлдыздар арасында қозғала отырып , бір жылда аспан сферасының үлкен дөңгелегі бойымен бір айналым жасайтынын байқаған . Бұл үлкен дөңгелекті ежелгі гректер эклиптика деп атаған .	This is an ordinary G-type main-sequence star with a stellar classification of G0V , which indicates it , like the Sun , is generating energy through core hydrogen fusion . It is slightly larger , hotter , brighter , and more massive than our  <word>Sun</word> . The metal content is about 8 % greater than the Sun , and it has a quiet ( magnetically inactive ) chromosphere .	T
Биосфераның радиоактивтік ластануының табиғи факторлар ына ғарыштық сәулелену , литосфераның радиоактивті элементтері ; антропогендік факторлар ына радиоактивтік кендерді өндеу , радионуклид терді шаруашылықтың әр түрлі салаларында қолдану , АЭС - тегі және кәсіпорындардағы апаттар , ядролық - техникалық қондырғылар , бейбіт мақсаттағы ядролық жарылыстар , ядролық қаружарақты сынау және т . б . жатады . Мысалы , АЭС - те апат кезінде ортаның радионуклидтермен ( стронций - 90 , цезий - 137 ,  <word>церий</word> - 141 , йод - 131 , рутений - 106 , т . б .) ластануы бірден артады .	Mantle oxidation state changes because of the existence of polyvalent elements ( elements with more than one valence state , e.g . Fe , Cr , V , Ti ,  <word>Ce</word> , Eu , C and others ) . Among them , Fe is the most abundant ( ~8 wt % of the mantle ) and its oxidation state largely reflects the oxidation state of mantle .	T
Бюджет жіктеліміне сәйкес оларға мемлекеттік меншік тен немесе қызметтен алынған табыс , жерді және бейматериалдық активтерді сатудан алынған табыс , мемлекеттік қорларды өткізуден алынған табыс , әкімшілік төлемдер мен  <word>айыппұл</word> санкциялары , сыртқы экономикалық қызметтен алынған табыс , т . б .	On June 11 , 1908 , the Republican controlled New York Legislature under Governor Charles Evans Hughes passed the Hart-Agnew anti-betting legislation with penalties allowing for  <word>fines</word> and up to a year in prison .	T
Саз жапалағы () ––  <word>жапалақтәрізділер</word> сабына жататын құс . Ұзындығы 33 - 43 см . арқасының түсі коңыр , ал жиектері ақшыл , құрсағы ашық қызыл - қошқыл , ұзыннан орналасқан дақтары бар . Көздің сыртқы мөлдір қайығы ақшыл - сары . Еуразияда ( Оң .	There are many protected species in the park , like `` arnica montana `` , `` aster alpinus `` , `` drosera rotundifolia `` , `` pedicularis palustris '' and many orchid s. The alpine shrew and many species of  <word>owl</word> also live there .	T
ұзақ уақыт емдеуді қажет етушшерді тылға эвакуациялауды ұйымдастыру және аурулар мен жараққаттанғандарға арнайы дәрігерлік көмек көрсету қызметтерін атқарды . Эвакуациялық госпитальдар тәсек саны мен емдеу түрлеріне қарай ( жалпы  <word>хирургия</word> лық , нейрохирургия лық , терапевт ік , жұқпалы және т . б .)	It is uncertain whether she was the first woman of the Medieval age to become a graduated physician in the Western World , but it is well known from various sources that at least 24 women practiced  <word>surgery</word> in Neapolitan Area during Middle Ages .	T
Осы жерде ол Хольцшуэр деген азамат оған глобус жасауға ұсыныс жасайды . Мартин оған келіседі . Міне , олар осылай  <word>глобус</word> жасауға кіріседі . 1492 жылы глобус дайын болады . Глобустың диаметрі 507 миллиметр , бірақ онда көлденеңі жоқ еді .	As the son of a well-to-do herring salesman , he was destined to succeed his father in the trade , but his interests lay more in mathematics and astronomy . Between 1594 and 1596 , as a student of the Danish astronomer Tycho Brahe , he qualified as an instrument and  <word>globe</word> maker . In 1600 he discovered the second ever variable star , now known as P Cygni .	T
Каспий теңізінің Маңғыстау түбегі Сарыарқаға қарағанда жас , бірақ кұрылысы мен жер бедерінің сипаттамасы ұқсас . Су ресурстарының тапшылығы Маңғыстау түбегінің табиғи ресурстарын игеруге кедергі болуда . Ең биік жері Қаратау ( Бесшоқы 556 м ), ең төменгі жері  <word>Қарақия</word> (- 132м ) ойысы .	It is notable that most of the city of Aktau lies below sea level in the Caspian Depression and is proximate to the lowest point in Kazakhstan and the former Soviet Union at  <word>Karagiye</word> .	T
Ақкелін , ханделия ( Handelіa ) – күрделігүлділер тұқымдасына жататын көп жылдық шөптесін өсімдік туысы . Қазақстанның шөлді , таулы аймақтарында ,  <word>тау</word> беткейлерінде , өзен бойларында өсетін 1 түрі – түкті Ақкелін ( H . trіchopella ) бар . Биіктігі 30 – 100 см , тамыры жуан .	It includes all gazetted rocks , boulders , pinnacles , crags , needles , pillars , rock formations , and tors in Western Australia , both inland and offshore . It does not include monolith s gazetted as  <word>mounts</word> or hill s , such as Mount Augustus .	T
Ең биік жері — Элберт тауы ( 4399 м ). Тынық және Атлант мұхиттары алабының суайырығын құрайды . Сеңгір таулардан Миссури , Колорадо , Рио - Гранде ,  <word>Снейк</word> , Арканзас , т . б . өзендері басталады .	The WMA 's wetlands are within the Boise and  <word>Snake</word> rivers ' floodplains and were originally used to replace goose nesting islands on the Snake River flooded by the Brownlee Dam .	T
көптеген тәжірибе стансалары шұғылданады . Зоотехния малдың биологиялық ерекшелігін зерттейтін ғылым болғандықтан ол биология , зоология , анатомия , гистология , физиология , биохимия , генетика ,  <word>цитология</word> , иммунология , т . б . ғылымдарға сүйенеді және ветеринария , агрономия , ауылшаруашылығы өндірісін ұйымдастырумен , т . б .	A student who majors in a science must choose a minor in the humanities or social sciences . All students meet the pre-med science requirements by taking  <word>cell</word> and molecular biology , botany , physiology , general chemistry , organic chemistry , and general physics . B.A.–M.D .	T
Сөз өнерінің түп төркінін , тегін , туу , қалыптасу тарихын , даму заңдылықтарын , көркемдік және эстетикалық ерекшеліктерін зерттейді . Негізгі салалары үшеу : әдебиет теориясы , әдебиет тарихы , әдебиет сыны .  <word>Жанама</word> тараулары — текстология , тарихнама , библиография .	Sluse contributed to the development of calculus and this work focuses upon spirals , tangents , turning points and points of inflection . He and Johannes Hudde found algebraic algorithms for finding  <word>tangent</word> s , minima and maxima that were later utilized by Isaac Newton . These algorithms greatly improved upon the complicated algebraic methods of Pierre de Fermat and René Descartes , who themselves had improved upon Roberval 's kinematic , but geometric , non-algorithmic methods of determining tangents .	T
Мұндай құйманың төрт түрі шығарылады . Біріншісінің құрамында ұнтақталып қуырылған соя дәндері бар ; екіншісінде — какаовелла , үшіншісінде какаовелладан басқа иіссіздендірілген соя ұны ; төртіншісінде — какао ұнтағымен бірге құрғақ майсыздандырған сүт бар  <word>кәмпит</word> сауыттарына құйылады . Түсі ашық Қоңырдан қоңырға дейін , қатты немесе сұйық күйінде шығарылады .	The table below summarizes some of the top-selling candy brands in different countries .  <word>Candy</word> is a confection that features sugar as a principal ingredient . The category , called `` sugar confectionery `` , encompasses any sweet confection , including chocolate , chewing gum , and sugar candy .	T
Дилер () – бағалы қағаздар нарығына кәсіпқой қатысушы . Ол  <word>лицензия</word> бойынша дилерлік қызметті жүзеге асырады ; тауар ларды ‚ бағалы қағаздарды ‚ валюта ны сатып алу - сату мәмілесі кезінде делдалдық міндеттерді жүзеге асыратын заңды немесе жеке тұлға . Делдал дан өзгеше түрде олар ‚ әдетте ‚ өз атынан және өзінің есебінен әрекет етеді .	Two of those divisions also form the Care Inspectorate , which inspects all health and welfare services and establishments that are recognised ,  <word>licensed</word> or subsidised by the department or any agency associated with it .	T
2000 жылдағы санақ бойынша Алабама халқының 96 , 7 %- і ағылшын тілі нде сөйлейді , 2 , 2 % — испанша ; 0 , 4 % — немісше ; 0 , 3 % — французша ( француз креольшасын қоса алқанда ) және 0 , 1 %- ке жуығы —  <word>қытайша</word> сөйлейді .	The official languages are  <word>Mandarin</word> and Mongolian , the latter of which is written in the traditional Mongolian script , as opposed to the Mongolian Cyrillic alphabet , which is used in the state of Mongolia ( formerly often described in the West as `` Outer Mongolia `` ) .	T
Сауда үстемесі халыққа тауар ды (" өнімді ") өткізу кезінде сауда кәсіпорын дары немесе басқа кәсіпорындар белгілейтін үстеме . Олардың тауарды сатумен және операциялардан пайда алумен байланысты жұмсаған  <word>шығын</word> ның өтеу үшін қосылады . Оның мөлшері үкіметтің немесе бағалау органдарының шешімімен белгіленеді .	The marginal product of labor is directly related to costs of production .  <word>Cost</word> s are divided between fixed and variable cost s. Fixed costs are costs that relate to the fixed input , capital , or `` rK '' , where `` r '' is the rental cost of capital and `` K '' is the quantity of capital .	T
